text,location,interest
"1. Transport Minister Anthony Loke will meet with tech giants, such as Facebook and Google, to clarify Malaysia’s stance on cabotage policy restrictions for submarine cable repair.  He says MOT hopes to provide businesses with clarity and certainty on policies. https://t.co/vzWBD0fxwx",,technology
"Imperialists trying to bully Malaysia into accepting Ericsson as the provider of 5G and rejecting Huawei.   Free market and capitalism always depend on some extra help from the government.  Plus, Chinese tech inhibits US spying. Not good!   https://t.co/h0tZxIgnuj",,technology
High-tech exports by country:  🇨🇳 China: $942b 🇭🇰 Hong Kong: $431b 🇩🇪 Germany: $209b 🇺🇸 USA: $169b 🇰🇷 South Korea: $164b 🇸🇬 Singapore: $160b 🇯🇵 Japan: $116b 🇲🇾 Malaysia: $108b 🇻🇳 Vietnam: $101b 🇳🇱 Netherlands: $101b 🇫🇷 France: $97b 🇲🇽 Mexico: $75b 🇬🇧 UK: $66b 🇧🇪 Belgium: $52b 🇮🇹…,,technology
"An IBM executive was aboard the plane, having just accepted a new position with Malaysia which would coincide with Chinese development in technology.  Also on the plane were 20 staff members from a US tech company which makes powerful microchips for industries, including defense.",,technology
"Pertama Digital together with Kridentia Tech is kickstarting Malaysia’s first very own Digital ID! 🇲🇾  Say goodbye to your wallets and hello to having your IC and driving license on your phone, just like your bank cards!  And this is just the start!  Digital ID is the future! 🚀 https://t.co/b9yLUnvl2t",,technology
"Malaysia's only tech unicorn, Carsome, earned more than $650 million last year, bringing it closer to profitability.  With financial headwinds and a slowing economy, we ask if Carsome's hopes of breaking even in 2023 might finally come true.  Full video ⤵️ https://t.co/sAbStGzJ21",,technology
"my singapore tech.pass visa was denied  should I try for entre.pass or go for malaysia? also, considering thailand and japan.",,technology
"Malaysia, seemingly, has a bad rep among overseas tech investors, said my interviewee, where the usual question asked is, Is this a fund for 'friends and family?'"" https://t.co/8bgkFTAwTu""",,technology
@WatcherGuru Malaysia is becoming a hub for Tech Companies and focused on being the center of innovation.,,technology
"If u think China dual circulation"" is limited to just chips &amp  high-tech, think again! It's going to harvest its first Chinese-grown durian soon as there is a large deficit to Thailand, Malaysia &amp  Vietnam as they import the fruit.  ASEAN farmers fretting!  https://t.co/uHIZOXTFIz""",,technology
"Once there was a company in India that was selling their AI service"" to tech companies in Malaysia.  ""Marketing with AI"" but things were not moving. Like emails not sent out etc. When complain, suddenly emails get sent out.  Turns out the ""AI"" is just a person (or persons) in…""",,technology
"On March 8th, CSCEC Malaysia organized Chinese and Malaysian employees to watch the film The Wandering Earth 2."" The audience responded positively, praising the high-tech application and humorous plot of the film.  #CSCECactivity https://t.co/CnyXqeGBIu""",,technology
"Taming Tech Sdn Bhd is an authorized training partner for The Linux Foundation in Malaysia.  Get your certification for :  - Kubernetes - Linux Server Administration - NodeJS  Pay in MYR, and also get some exclusive merchandise.  Questions? Just ask. https://t.co/mAqRD6IYd6",,technology
"We're excited to announce our first high-volume production facility will be located in Penang, Malaysia, joining an exciting ecosystem of high-tech manufacturing companies in the region. Read more here 👉 https://t.co/UQPYTPPxJi https://t.co/iT0CQyGQ7c",,technology
AWS is investing RM25.5bil by 2023 in Malaysia. Exciting times for local tech industry! https://t.co/VMPLAttQ3t,,technology
GDE @henrylim96 talk about tech for good - how he built the @MYVaccineCount bot and the official COVID dashboard in Malaysia. #gdesummit #europe #malaysia #covidnow https://t.co/es2XhlR7zA,,technology
"🚀 https://t.co/VfF6TzQPBP is live – job board for tech jobs in Malaysia.  It scrape jobs from sites like lever(.co), greenhouse(.io) maukerja, hiredly, and more – daily!  Looking for kerja IT? – https://t.co/VfF6TzQPBP https://t.co/ezFEI8yEXs",,technology
"I dislike owning a car  But if you live in countries like Malaysia,   You need 1 family car.  From my research, a car around RM150k new is the sweet spot for:  - tech &amp  safety - performance - comfort &amp  refinement - price - status  The Honda Civic ticks all the boxes.  hbu? https://t.co/HsZWLHmc4h",,technology
"Thanks for having me @BFMradio #Malaysia! Great talking to Chong Tjen San to give my take on where best to invest in 2023. Tap the link below to listen to my thoughts on oil and gold prices, tech stocks, cryptocurrencies, global real estate and more. https://t.co/2oah5j2kRu https://t.co/48Tn75FPvM",,technology
"Kita kena famouskan Golang ni kat Malaysia.  Syntax quite similar to C, but modern and cooler.  Malaysian tech companies should look forward to developing with Go 😁. I've already started my company with this.  It's fast and smooth ⚡️",,technology
PlayStation Malaysia Studio:  #PlayStation #PlayStation5 #PS5 #DualSense #PlayHasNoLimits https://t.co/WylOXbsRst,,technology
"6. Malaysia was the first country in the world to issue biometric passports in March 1998.  It was developed by a local tech company called IRIS Corporation.  Today, more than 150 countries are using this technology. https://t.co/yuRATUBw6O",,technology
"@lANZAlNAL Pastu Indonesia, Vietnam, Thailand lega sbb foreign investors tak pandang Malaysia lg dah. Less competition for them to attract high-value high-tech investments.",,technology
"Congrats to the Sekolah Bina Insan's Robotic Club team, on being awarded 1st place at the virtual Universal Robotic Challenge (Senior Division). Great teamwork and exemplary, representing Malaysia at the innovative tech-driven competition.Well done! @sbiyayasanmsu @YayasanMSU https://t.co/uxv1u1oFAg",,technology
"Of course, these technologies are not futuristic.   There are more &amp  they make our lives easier.   It’s a showcase of how Malaysia is progressive in tech &amp  innovation application.   Hoping to see more home grown companies developing new tech for the world.",,technology
15. Clean Energy Tech  Malaysia's national oil &amp  gas company @Petronas is going big into clean energy too. https://t.co/hopsMXyMsS,,technology
"“Bangsar South is now the Silicon Valley of Malaysia”. Panelist goes on to list tech companies set up in that area. #MUF2022  Wait, what was the point of Cyberjaya then?",,technology
PlayStation Malaysia: https://t.co/JLgi9TOLUa,,technology
"when I was studying for my masters in climate change at a top uni in US, my classmates were discussing expected salary range of minimum $80k per year. friends in tech generally earning 6 figure salaries (per year in USD). how to get that in Malaysia?",,technology
"@marijuanx “woah! escalators here moving when it senses human, very high tech!” “i didnt know malaysia has such good infrastructure” makin ramai buat content camni makin jadi annoying. like we dont need their content and opinion to making us feel validated",,technology
"Pleased to meet today Negeri Sembilan Chief Minister Dato' Seri Aminuddin Harun @MenteriBesarNS .We had forward looking discussions on potential investments by EU 🇪🇺companies to further develop Malaysia Vision Valley"" in high tech industrial sectors. https://t.co/NfmyjERGnM""",,technology
@ardyanme Tomorrow I'm having an interview with well known tech com from Malaysia. They said they're open for relocation. Wish me luck.,,technology
"He was known as the 'King of Affordable Homes.'  He believed in creating sustainable communities.  Cyberjaya, Malaysia's global tech hub was developed by his company.  Here's the story of the late Tan Sri Mustapha Kamal.👇 https://t.co/spsT2mR6aL",,technology
"Recently, ive lepak with friends (working in tech) that are migrating out from Malaysia, for better quality of life + peace of mind.   Is this a sign yo  🫣",,technology
"Report: India caught in blamegame after former Mauritius Telecom CEO claims Mauritian PM forced him to allow an ‘Indian tech team’ access to a vital internet landing facility (connecting Southern Africa to Malaysia), with aim to install ‘sniffing device'.",,technology
"Malaysia’s PM highlighted the importance of #RuralStar, @HuaweiMalaysia's innovative telco network infrastructure device, as a catalytic tech helping connect remote communities &amp  improve living standards, to better drive sustainable economic growth across the nation. #HuaweiNews",,technology
"Just had a call with two amazing people of Tech Twitter! 🙂  @dun_yan_ is from Malaysia 🇲🇾  @The_GreatBonnie is from Nairobi, Kenya 🇰🇪  So much to learn from these guys &amp  they are doing extremely good!   Thank you so much to both of you guys!!😊💜💜 https://t.co/LPChF83Qxn",,technology
"💃🕺Tejas aircraft emerges as top choice for Malaysia's fighter jet programme. Tejas’s superior tech compared to China’s JF-17 and India’s offer to maintain Malaysia’s Su-30 fleet set to clinch the deal, unless there is a shift for political reasons. https://t.co/tTGncKkFdW",,technology
PlayStation Studio Malaysia:  #PlayStationStudios #PlayStationMalaysia #PlayStation #PlayStation5 #PS5 #DualSense #PlayHasNoLimits https://t.co/xNBUeqHELw,,technology
"I believe there are other top world ranking in other areas for Malaysia.   If you know any please share here.   I tweet on science, tech, entrepreneurship &amp  untold Malaysian success stories.   Follow me @richardker for more.",,technology
Saw the list of tech investments into Malaysia a few days ago?  Those were the activities over the last two weeks.   There are actually more since early 2022.   Here are the major ones.👇🏼 https://t.co/ZI0Ks6gW5y,,technology
Malaysia is losing a chance from Elon Musk?  No worries.  There are more tech companies out there.   They’re investing right here in Malaysia.   Here are some exciting tech &amp  investment updates you may have missed. https://t.co/wcZ7Lvqyup,,technology
"Indonesia has the world’s largest reserves in nickel, a key ingredient for battery. It is no surprise for Tesla to invest in Indonesia strategically to secure the reserves. A competing tech would be green hydrogen. Playing second fiddle again, Malaysia?",,technology
"Although I come from KP yet I keep fast &amp  Do EID with the government. Our belt has rejected Popalzai since long. It's time the rest of the province rejects him too. Everytime he announces EID a day earlier. INDIA,MALAYSIA, even Pakistan with better tech can't sight moon but Pops!",,technology
"That’s just some of the amazing work she’s done at NASA.   I was told that she’s visiting Malaysia later this year.   Does she speak Malay? Yes, very much.   She’s married with two children.   Florence hopes to inspire more students to go into Science, Tech, Engineering &amp  Math.",,technology
Looking for a job felt like an uphill task for many.  But to get a job at small tech company in Malaysia is surely an easy task.  The barrier to entry for a job at small tech company in Malaysia is surely low.  Even then 8/10 dont make it past the general mailbox/application.  🧵,,technology
"How many electric vehicles (EV) in Malaysia?   Just...500  Yet, the govt wants to develop the Automotive High-Tech Valley (AHTV) in Tanjung Malim to be a manufacturing hub for EV manufacturers in ASEAN",,technology
"Tech startups are getting a lot of the attention but the used luxury bag market is hot &amp  Calgary is home-base to a rapidly growing business called Luxe du Jour. They have offices in Vancouver, Malaysia, Hong Kong and Thailand. Diversification is more than just tech.",,technology
"Hi @elonmusk. I am Suria Affendi, a deep tech startup and technology inventor and I’ve invented a new technology breakthrough in graphene battery. Let us collaborate together.   Best regards, Suria Affendi. Malaysia.",,technology
"My urge to relocate to Malaysia reminds me of when I was in the School of Engineering.  I felt that the University was not aligned with my goals or what I wanted.  I decided to quit and get into Tech.  Right now, I am in the same situation with my country.",,technology
Harga rasmi siri Galaxy S22 di Malaysia  S22 128GB | 8GB - RM3499 256GB | 8GB - RM3699  S22+ 128GB | 8GB - RM4099 256GB | 8GB - RM4299  S22 Ultra 128GB | 8GB - RM5099 256GB | 12GB - RM5499 512GB | 12GB - RM5899  #SamsungUnpacked https://t.co/C8NV4736Rk,,technology
"6 tech companies in one photo in Cyberjaya, Malaysia. Can you name them? @Twt_Cyberjaya https://t.co/f5fWHHZ67K",,technology
"Am I the only one who thinks that Malaysia having an academy like this isn’t bad? I think it pays a homage to a dying art that’s integral to Malaysia’s cultural richness. We might not be that advance in tech, I feel our culture is sentimental to us.",,technology
Why are all of them from Malaysia💀💀💀💀,,technology
Thins Internation Banker article on tech disrupting remittances quotes #Ripple's Navin Gupta about the QNB partnership and mentions Mobile Money &amp  bKash in Malaysia.   https://t.co/Z50uOzrbts,,technology
Witness the launch of the Malaysia Digital Economy Week at #Expo2020Dubai this 12 January live. Find out why 🇲🇾 is the Digital Investment Destination &amp  Digital Tech Hub of Southeast Asia. Catch the launch live at https://t.co/289YVWWB2H  #SayaDigital   @kkmm_gov @mahadhir_aziz https://t.co/bI2PWCfEdd,,technology
If you are in Tech in Malaysia. DO NOT USE AMBANK CREDIT CARD. They consider google payment as high risk and refuse to bulge. I am going to try payoff what remains and change my credit card soon.,,technology
"#Huawei Malaysia CEO Michael Yuan confirms the company will continue to provide digital tech solutions for different industries to help the nation achieve low carbon emissions by 2030, as part of the goal to become carbon neutral by 2050. #HuaweiFacts",,technology
"Kat sini 3 days of work you’d get a brand new laptop.   Kat Malaysia, you work your ass off kerja 3 kerja, dapat la second hand old tech laptop 😘 https://t.co/0F9cf3FCfP",,technology
Our new technology office in Malaysia joined the global tech zone of Turkish Aerospace with 10+ spots. This office will be a hub that will host upcoming joint projects between Malaysia and Turkey. 🇹🇷 🇲🇾  https://t.co/bOkBgxN7Bt https://t.co/V9jOZwLmsB,,technology
"2C2P, a #Ripple partner (w/ NIUM), partnered w/ UnionPay International for Online Payment Tech in SE, first in Thailand, then Cambodia, HK, Indonesia, Malaysia, Myanmar, Philippines &amp  Singapore. This is a card play, not Ripple. https://t.co/S4Jq31eKaz",,technology
This is the first issue of MIFA's Newsletter. I am the founding member &amp  the Exco of Malaysia Industry Forward Association (MIFA). https://t.co/VCq3lvpoOp  My company Blockworq Sdn. Bhd. contributed on Blockchain Tech article in this newsletter.  @MohdShukriYajid @MSUmalaysia https://t.co/F9yCzASLpm,,technology
Congratulations @officialmosti. The merger of @mymagic_my &amp  @techparkmsia to become @MyMRANTI is finally unveiled. This will be Malaysia’s premier tech commercialisation agency. Heavy heart leaving because of this project. In good hands under @DrAdhamBaba &amp  @Dzuebaker.,,technology
Foreign Secretary @trussliz was in Malaysia today to deepen the UK🇬🇧 🇲🇾Malaysia relationship  🔭Advancing tech and digital ties   🚊Developing sustainable infrastructure   📈Boosting investment finance https://t.co/x19HEURBAw,,technology
"🇬🇧🇲🇾 Malaysia is an important Commonwealth friend &amp  partner. Talks with @IsmailSabri60, @saifuddinabd @HishammuddinH2O on new Strategic Partnership inc:  🔹Greater tech collaboration   🔹Deeper economic links, inc #CPTPP  🔹50 years of 5 Power Defence Arrangement 🇬🇧🇲🇾🇦🇺🇳🇿🇸🇬 https://t.co/3W0sfk9fIN",,technology
"Malaysia &amp  Turkey hv been working on know-how military tech transfers since few years,now Turkish Aerospace has invited Malaysian Engineers  for the joint production of Turkey's unique jet trainer &amp  light attack aircraft.  https://t.co/NailWmEs0T  #defenceindustry #MauKerja https://t.co/kQZRTpjJXA",,technology
Are you looking for a job in the tech sector?   Bank Negara Malaysia has around 20 vacancies available! Drop your CV on our new careers webpage  👉🏻 https://t.co/XlCrCxCjPe! https://t.co/vDCk6a9PYy,,technology
"We're expanding! Our products will now be available in China, 8 different regions in the UAE and Malaysia!  Welcome Hexion Peripherals, Respawn Gaming Tech and Game Street to the Odin Gaming family! 😱 https://t.co/Yg6UJd169O",,technology
"Sorry for the late tweet, we added a new member to our tech art and engineering team. Welcome to Tamimi Tamby to @PlayStation Studios Malaysia. Selamat Datang and let’s goooooo",,technology
This guy started learning a tech skill last week. In few months time he will start making money n in few years becomes world class n he is set for life.   But if we recommend YouTube for some people they will rather choose yahoo because we didn’t fly them to Malaysia 😏 https://t.co/X8rmD34sow,,technology
"Ire spends over $20k annually to sponsor 16 people into tech.  SheCodeAfrica has over 7k+ members they’re supporting as best as they can.  DevCareer has bought over 72 laptops so far to teach.  FREE  But since they’re not sending people to learn fraud in Malaysia, them no try.",,technology
"Emeka is back from Malaysia, goes back to slum, pick up few boys, pay for their visa, and take them to Malaysia to teach them Yahoo.  Tech bro leaves for UK, gets a good job, gets permanent residency, won’t sponsor those from the slum to UK.",,technology
"@bigbrutha_ Lol as a tech guy who lives in Malaysia/Singapore, I'd like to say you're wrong about both.",,technology
I wonder if corporate Malaysia is ready to publish their diversity reports annually like tech companies do,,technology
"Chinese spy hackers deploy new #rootkit against targeted #Windows10 users working for high-profile entities in Malaysia, Thailand, Vietnam and Indonesia, in addition to outliers in Egypt, Ethiopia and Afghanistan.  Details: https://t.co/qe9n5UybYr  #infosec #malware #hcking #tech",,technology
PlayStation Studios:  Bluepoint Games Firespite Nixxes Housemarque Naughty Dog Sony Santa Monica Sucker Punch Bend Studio San Diego San Mateo Visual Arts Group Insomniac Games Pixelopus Guerrilla Media Molecule London Studio XDev Polyphony Digital Team Asobi PlayStation Malaysia https://t.co/0Ji61RsAwJ,,technology
@esshimself Malaysia has also been ranked as the fifth-worst country in protecting personal data of its citizens due to MyKad in 2019  Not sure if PDPA or other digital tech agencies like MDEC did anything abt it  https://t.co/B0hLsXq2Pv,,technology
"Malaysia's only deep tech drone company, Pulsar UAV is the best drone tech company in South East Asia. Congrats to @IzmirYamin https://t.co/XvjX0NivcL",,technology
"Had great time speaking on how accelerators benefit startups with implementation and investment, how the COVID-19 pandemic fuelled Malaysia’s thriving startup entrepreneurial ecosystem and the growth of Malaysian tech startups.  #SIDCMY #BFF2021 #virtualconference https://t.co/xgYrQC4sxs",,technology
"Sempena Hari Malaysia, the pre launch of Area 57, @techparkmsia by YB Minister MOSTI @DrAdhamBaba. 5 acres designated as drone devp zone - COE equipped with end to end support for drone tech including R&amp D facilities, test bed, flight runway,  maintenance, repair &amp  overhaul. https://t.co/IeDjwXHyix",,technology
"Najib moots taxing tech giants Amazon, Facebook, Google to assist Malaysia’s pandemic recovery | Malaysia | Malay Mail  Pay your own tax first!!!! https://t.co/QuRW3A6rJZ",,technology
"Where do you think Malaysia talent can win in the global tech space by still operating in Malaysia?  - Blockchain - SAAS - Marketing-tech - Deep-tech  &amp  why?  My bet is the blockchain chain &amp  building micro-saas on top of large platform ( shopify , fb, Aws, etcs )",,technology
"@SaharaReporters @ProfOsinbajo Nigeria's false sense of unity only benefits a few political elites.   India became a tech powerhouse after splitting from terrorist Pakistan.   Malaysia and Singapore are doing well as sovereign entities, Yugoslavia has constituents nations faring better as a unit.",,technology
"He also ruined bright red ties for ME !!! Some of my fave ties are bright red. Now I always look at them and think, no, not today, too Trumpy. Like say this:  (BTW that was your T Dawg photobombing the Senoritas, a Girl Band of Malaysia who performed at tech conference party) https://t.co/OLiyEORzfq",,technology
"Tech gang, crypto needs (and appreciates) talents like you.  World-class companies like @coingecko paying generous salaries, and being transparent about em — right here in Malaysia. 👇👇👇  https://t.co/72w2RLPnJR",,technology
If we don't do Cambo someone in Malaysia or Africa or somewhere else will do its equivalent.  If you want to displace oil and gas we need the jobs from manufacturing the Net Zero tech we have to deploy and at this moment in time we're nowhere near achieving that. @C4Ciaran,,technology
"Malaysia’s multilingual and multicultural uniqueness has enabled Tranglo to thrive abroad.""  Enhanced by @Ripple tech, we are poised to become even better.  #Tranglo #Fintech #CrossBorderPayments #Remittance #digitalcurrencies #XRP #ODL https://t.co/VXllvhma4A https://t.co/VzzTUICdaP""",,technology
"This is what I do for a living - running a tech startup.   Raising capital in Malaysia is hell - since 2019 when we turned commercial, not a single Malaysian-based VC or institution had shown interest.  The ones who kept knocking our doors are international VCs.  #startup https://t.co/yFQegYKLYX",,technology
"Wait, hold up!  What's this! @PlayStation  Studios Malaysia welcomes a new player - Mr. Dom Drane, our Senior Manager, Tech Art &amp  Engineering. Our Tech Art &amp  Engineering team now has a leader! Come join his team as we are still looking for more great players to join our studio. https://t.co/wSbqlvrwmC",,technology
"Used car marketplace Carsome has become Malaysia's first tech unicorn, as it acquires a stake in an Australian-listed car portal. Where will this road take them?   Prior to Carsome acquiring its current status, we interviewed its CEO, Eric Cheng. Find the podcast ⬇️ https://t.co/kQdemYxe9k",,technology
"Vishwathika, a 20-year-old B Tech student from #Trichy learnt coding during the COVID19 pandemic.   She is now conducting online coding classes to school students from US, UK, Malaysia, Singapore &amp  earns around Rs 30000-Rs 50000 a month #TamilNadu https://t.co/vKclELJkfA",,technology
"Migrant workers for three tech companies here in Taiwan are in paid quarantine for 14 days due to a Covid-19 outbreak in their dormitories — often cramped with unsanitary conditions. This is similar to outbreaks in Singapore, Malaysia &amp  Thailand. @EricCheungwc @JohnnyMees @cnni https://t.co/0LCJwPieih",,technology
"As I watch cases rise in Scotland, Taiwan, Malaysia, Columbia, Chile, Suriname, Dominican Republic, Portugal: Worried about how quickly things can change. We need vaccinations to speed up dramatically. More vaccine producers. More tech transfer.  And 2 doses for all coz of B1.617",,technology
Indo recognises that their country isn’t tech futuristic hence they provide a system that accommodates to the rakyat. Malaysia on the other hand nak sangat jadi futuristic without even thinking if they can provide it AND if it could accommodate ALL of the people. Bodoh sombong,,technology
I suspect the designers of Malaysia's AZ registration site are anti-vaxxers.  This is their way of discouraging vaccination: by tech-frustration!,,technology
"Had the opportunity to meet and exchange views with representatives from @amazon, @Google, @Facebook, and @Microsoft in the first of a series of meetings with tech companies to forge close collaboration in driving Malaysia towards realising #MYDIGITAL objectives and aspirations. https://t.co/Nsejo3LwE3",,technology
"Tech giants less interested in Malaysia because of dumb cabotage rules. 575 artists get RM 10 mil but 3 halls in Pagoh get over RM30 mil. PM promotes waqaf when he himself still earns almost RM100,000 a month. If you can focus on the positives, you’re probably privileged.",,technology
PlayStation Studio Malaysia. https://t.co/YJ50xklVCN,,technology
"PN driving away big tech to countries with less to offer and making Malaysia a joke, says Umno No 2. #FMTNews #Cabotage #UnderseaProjects #MohamadHasan #TokMat  https://t.co/f0pIcVblGM",,technology
Full story  Tech companies say they may review cable investments in Malaysia - The Edge Markets https://t.co/boen20Mbkv,,technology
"Good cold and wet morning Malaysia!  @PlayStaiton Studios Malaysia is up and about trying to get the rock band together.  Looking for all manners of DevOps, Artists, Animators, Lighters and Tech Artists! Links here for the tryouts: https://t.co/J6l7mOao16 #PlayHasNoLimits https://t.co/Ly0pYLu0OR",,technology
"IBM's decision to stop operations here in Malaysia is not surprising one bit - it's sad because a lot of people are getting laid off but considering how our government obessed with role-playing as cave men, it doesn't bode well for the tech industry here in Malaysia.",,technology
a short story of how tech startup ecosystem in Malaysia https://t.co/wjY2TvR8zc,,technology
Thailand has no national car. Yet they assemble name brand cars for export. They also export a lot of their agro products.  Malaysia has a national car. Tech industry growth in Malaysia is basically stagnant. And we import a lot of our food.  Malaysia - neither here nor there.,,technology
Our third drone tech @SandboxMalaysia was launched today. This one for deliveries. Working with @airasia and @CAA_Malaysia to make drone deliveries a reality in Malaysia soon. Airborne mobility will be huge for Malaysia. https://t.co/m8Z4XKVPhT,,technology
"A recap of today’s demo of drone delivery at our third national sandbox. Thank you YB @khairykj &amp  TS Tony Fernandes for joining us, and special thanks to CAAM for enabling our safe drone flight. We hope that this is the start of a more vibrant drone tech ecosystem in Malaysia! https://t.co/oA2XtwOxEF",,technology
Innovative tech for water sustainability.  Malaysia's RIVIL addresses climate change's water scarcity with air-to-water solutions.  Supported by @cradlefundsdb  https://t.co/t9JldhL52z,,technology
Emerging Technologies and MyDIGITAL. The plan to make Malaysia a digital and deep tech powerhouse.  https://t.co/zxC0iuuvt3,,technology
"Why did I write a memoir at 26? Because, you kept asking me how I became a go-getter! I immigrated with my family from India to Malaysia to America at 9. I felt I didn't belong in this country for the longest time, and it hurt. I became an Industrial Engineer from Georgia Tech 🎓",,technology
"Legal Tech  1/   Can we talk about #LegalTech in Malaysia?  We lawyers badly need to innovate.  Culturally we are not tech ready.    We have lawyers still arguing about whether social media, Google Ads, SEO etc (or anything trying to level the playing field) are dignified.",,technology
Fantastic news! Thank you PH Minister @DarellLeiking @imokman for the hard work to attract this high tech investment into Malaysia.,,technology
"Engaging exchanges on leveraging Malaysia's accelerated digital transformation as well as strengthening longstanding partnerships in a roundtable dialogue with the British High Commissioner, H.E. @UKAmb_Hay and British tech companies, hosted by @mymdec and @tradegovukMYS. https://t.co/RO9Pe77Lx0",,technology
"Ripple continues global growth! Ripple Tech to Power New Malaysia-Bangladesh Remittance Corridor"" https://t.co/FYqDKAa41Z""",,technology
Ripple Tech to Power New Malaysia-Bangladesh Remittance Corridor - CoinDesk https://t.co/6EuombNc9P,,technology
"50-50 Malaysia,a database of women experts in, on or from Malaysia, is live! Please give us a follow at @5050malaysia. Big props to wonderful designer and tech supremo @ashvinmenon and idea-bouncer-offer @vimkumar11.  https://t.co/nOUO4hhAuE",,technology
I chaired the first High-Tech Nation Council meeting yesterday which aims to give strategic direction regarding existing and upcoming technology that has the potential to be developed in Malaysia. https://t.co/oAwTrB06d4… https://t.co/hh5nYVPeep,,technology
